1,fname1,lname1,M,10/11/1988,10/11/2015,10/30/2015,Manager,d005,22000
2,fname2,lname2,F,10/11/1988,10/11/2015,10/30/2015,Engineer,d003,50000
3,fname3,lname3,F,10/11/1988,10/11/2015,10/30/2015,Manager,d005,22000
4,fname4,lname4,F,10/11/1988,10/11/2015,10/30/2015,Senior Engineer,d004,25000
5,fname5,lname5,F,10/11/1988,10/11/2015,10/30/2015,Manager,d005,22000
6,fname6,lname6,M,10/11/1988,10/11/2015,10/30/2015,Staff,d001,30000
7,fname7,lname7,F,10/11/1988,10/11/2015,10/30/2015,Manager,d005,22000
8,fname8,lname8,F,10/11/1988,10/11/2015,10/30/2015,Staff,d001,30000
9,fname9,lname9,M,10/11/1988,10/11/2015,10/30/2015,Senior Engineer,d004,25000
10,fname10,lname10,M,10/11/1988,10/11/2015,10/30/2015,Senior Engineer,d004,25000
11,fname11,lname11,M,10/11/1988,10/11/2015,10/30/2015,Staff,d001,30000
12,fname12,lname12,F,10/11/1988,10/11/2015,10/30/2015,Engineer,d003,50000
13,fname13,lname13,F,10/11/1988,10/11/2015,10/30/2015,Senior Engineer,d004,25000
14,fname14,lname14,F,10/11/1988,10/11/2015,10/30/2015,Senior Engineer,d004,25000
15,fname15,lname15,F,10/11/1988,10/11/2015,10/30/2015,Senior Staff,d002,20000
16,fname16,lname16,M,10/11/1988,10/11/2015,10/30/2015,Engineer,d003,50000
17,fname17,lname17,M,10/11/1988,10/11/2015,10/30/2015,Engineer,d003,50000
18,fname18,lname18,F,10/11/1988,10/11/2015,10/30/2015,Senior Engineer,d004,25000
19,fname19,lname19,F,10/11/1988,10/11/2015,10/30/2015,Senior Staff,d002,20000
20,fname20,lname20,F,10/11/1988,10/11/2015,10/30/2015,Engineer,d003,50000
21,fname21,lname21,F,10/11/1988,10/11/2015,10/30/2015,Senior Engineer,d004,25000
22,fname22,lname22,F,10/11/1988,10/11/2015,10/30/2015,Staff,d001,30000
